"Company Name","Domain","Industry","HQ Location","Employees","Revenue Band","Funding Stage"
"Harvard Business School Publishing","hbr.org","","Boston, Massachusetts, United States","","",""
"Harvard Business School","hbs.edu","","Boston, Massachusetts, United States","","",""
"Harvard Business School Publishing Corporation","hbr.org","","Boston, Massachusetts, United States","","",""
"Turing","turing.com","","Palo Alto, California, United States","","",""
"Harvard Business School","hbs.edu","","Boston, Massachusetts, United States","","",""
"Harvard Business School","hbs.edu","","Boston, Massachusetts, United States","","",""
"Harvard Business School","hbs.edu","","Boston, Massachusetts, United States","","",""
"Chargebee","chargebee.com","","Walnut, California, United States","","",""
"Ramp Business Corporation","ramp.com","","New York, New York, United States","","",""
"Twitter","x.com","","San Francisco, California, United States","","",""
